o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
13426689647,4063782840,O_373,D_7,9199.0,0,special,EV1_ma,,
13426689648,4063782840,O_374,D_7,9210.0,0,special,EV1_ma,,
13426689649,4063782840,O_375,D_7,9291.0,0,special,EV1_ma,,
13426689650,4063782840,O_376,D_7,9447.0,0,special,EV1_ma,,
13426689661,4063782840,"O_406,O_443,O_482,O_522",D_7,8683.0,0,special,EV1_ma,,
13426689662,4063782840,"O_408,O_445",D_7,8948.0,0,special,EV1_ma,,
13426689663,4063782840,O_409,D_7,9044.0,0,special,EV1_ma,,
13426689676,4063782840,"O_442,O_481,O_560",D_7,8453.0,0,special,EV1_ma,,
13426689688,4063782840,"O_480,O_520",D_7,8329.0,0,special,EV1_ma,,
13426689701,4063782840,"O_517,O_557",D_7,7926.0,0,special,EV1_ma,,
13426689702,4063782840,"O_518,O_558",D_7,8039.0,0,special,EV1_ma,,
13426689703,4063782840,"O_521,O_561",D_7,8560.0,0,special,EV1_ma,,
13426689714,4063782840,O_552,D_7,7531.0,0,special,EV1_ma,,
13426689715,4063782840,O_553,D_7,7557.0,0,special,EV1_ma,,
13426689717,4063782840,"O_555,O_597",D_7,7645.0,0,special,EV1_ma,,
13426689718,4063782840,"O_556,O_598",D_7,7820.0,0,special,EV1_ma,,
13426689725,4063782840,O_589,D_7,7397.0,0,special,EV1_ma,,
13426689726,4063782840,O_590,D_7,7274.0,0,special,EV1_ma,,
13426689727,4063782840,O_592,D_7,7113.0,0,special,EV1_ma,,
13426689728,4063782840,O_593,D_7,7280.0,0,special,EV1_ma,,
13426689729,4063782840,O_596,D_7,7524.0,0,special,EV1_ma,,
13426689735,4063782840,O_621,D_7,7141.0,0,special,EV1_ma,,
13426689736,4063782840,O_622,D_7,7051.0,0,special,EV1_ma,,
13426689738,4063782840,O_626,D_7,7205.0,0,special,EV1_ma,,
13426689739,4063782840,O_627,D_7,7421.0,0,special,EV1_ma,,
13426689740,4063782840,O_628,D_7,6980.0,0,special,EV1_ma,,
13426689743,4063782840,O_631,D_7,7223.0,0,special,EV1_ma,,
13426689744,4063782840,O_632,D_7,7434.0,0,special,EV1_ma,,
13426689745,4063782840,O_633,D_7,7874.0,0,special,EV1_ma,,
13426689752,4063782840,O_649,D_7,7351.0,0,special,EV1_ma,,
13426689753,4063782840,O_654,D_7,6788.0,0,special,EV1_ma,,
13426689754,4063782840,O_656,D_7,6674.0,0,special,EV1_ma,,
13426689755,4063782840,O_657,D_7,6743.0,0,special,EV1_ma,,
13426689756,4063782840,O_659,D_7,6956.0,0,special,EV1_ma,,
13426689757,4063782840,O_660,D_7,7261.0,0,special,EV1_ma,,
13426689758,4063782840,O_661,D_7,7476.0,0,special,EV1_ma,,
13426689759,4063782840,O_662,D_7,7736.0,0,special,EV1_ma,,
13426689766,4063782840,O_677,D_7,6980.0,0,special,EV1_ma,,
13426689767,4063782840,O_679,D_7,6480.0,0,special,EV1_ma,,
13426689768,4063782840,O_680,D_7,6422.0,0,special,EV1_ma,,
13426689769,4063782840,O_682,D_7,6459.0,0,special,EV1_ma,,
13426689770,4063782840,O_683,D_7,6609.0,0,special,EV1_ma,,
13426689771,4063782840,O_686,D_7,6965.0,0,special,EV1_ma,,
13426689772,4063782840,O_687,D_7,7117.0,0,special,EV1_ma,,
13426689773,4063782840,O_688,D_7,7820.0,0,special,EV1_ma,,
13426689774,4063782840,O_689,D_7,7755.0,0,special,EV1_ma,,
13426689784,4063782840,O_712,D_7,7256.0,0,special,EV1_ma,,
13426689785,4063782840,O_713,D_7,7021.0,0,special,EV1_ma,,
13426689786,4063782840,O_715,D_7,6203.0,0,special,EV1_ma,,
13426689787,4063782840,O_716,D_7,6187.0,0,special,EV1_ma,,
13426689788,4063782840,O_717,D_7,6106.0,0,special,EV1_ma,,
13426689789,4063782840,O_718,D_7,6399.0,0,special,EV1_ma,,
13426689790,4063782840,O_721,D_7,6680.0,0,special,EV1_ma,,
13426689791,4063782840,O_722,D_7,6997.0,0,special,EV1_ma,,
13426689792,4063782840,O_723,D_7,7564.0,0,special,EV1_ma,,
13426689793,4063782840,O_724,D_7,7690.0,0,special,EV1_ma,,
13426689805,4063782840,O_753,D_7,7488.0,0,special,EV1_ma,,
13426689806,4063782840,O_754,D_7,7268.0,0,special,EV1_ma,,
13426689807,4063782840,O_755,D_7,5905.0,0,special,EV1_ma,,
13426689808,4063782840,O_756,D_7,5906.0,0,special,EV1_ma,,
13426689809,4063782840,O_757,D_7,5952.0,0,special,EV1_ma,,
13426689810,4063782840,O_758,D_7,5898.0,0,special,EV1_ma,,
13426689811,4063782840,O_760,D_7,6053.0,0,special,EV1_ma,,
13426689812,4063782840,O_761,D_7,6087.0,0,special,EV1_ma,,
13426689813,4063782840,O_762,D_7,6448.0,0,special,EV1_ma,,
13426689814,4063782840,O_763,D_7,6531.0,0,special,EV1_ma,,
