ID,u,v,RP10_fr,RP10_ma,alt_nodes,alt_time,avgspeed,bridge,connected,diff_time,edge_fid,hazard,highway,lanes,length,link_id,maxspeed,node_A,node_B,rfid,rfid_c,time,vlh_business_RP10_ma,vlh_commute_RP10_ma,vlh_freight_RP10_ma,vlh_other_RP10_ma,vlh_RP10_ma_total
265,51,160,1.0,0.766716718673706,nan,,50.0,nan,0,nan,51_160,RP10_ma,secondary,nan,6.0,265,nan,51,160,459,98,0.0,984.375,426.5625,404.6875,10500.0,12315.625
258,51,132,1.0,0.8116190433502197,nan,,50.0,nan,0,nan,51_132,RP10_ma,secondary,nan,6.0,258,nan,51,132,377,99,0.0,896.875,1082.8125,470.3125,10390.625,12840.625
267,52,160,1.0,7.1747283935546875,nan,,50.0,nan,0,nan,52_160,RP10_ma,secondary,nan,19.0,267,nan,52,160,460,101,0.0,3072.3,6003.1125,1071.2625,16978.5,27125.175000000003
"(112, 259)",54,159,0.13842832849471756,8.276220321655273,nan,,58.0,nan,0,nan,"['53_54', '53_159']",RP10_ma,tertiary,nan,1399.0,"[112, 259]",nan,53,"[54, 159]",457,"[102, 103]",0.024,10025.4,14795.55,3476.55,148764.0,177061.5
94,76,77,0.882933375918773,9.00287914276123,nan,,58.0,nan,0,nan,76_77,RP10_ma,tertiary,nan,55.0,94,nan,76,77,218,135,0.001,1940.4,13340.25,6468.0,126126.0,147874.65
190,76,108,0.9635546026080276,9.848410606384277,nan,,58.0,nan,0,nan,76_108,RP10_ma,tertiary,nan,34.0,190,nan,76,108,311,136,0.001,4204.2,12370.05,7276.5,135828.0,159678.75
263,88,159,1.0,3.787433385848999,nan,,50.0,nan,0,nan,88_159,RP10_ma,secondary,nan,10.0,263,nan,88,159,455,153,0.0,3355.2749999999996,4669.0875,848.925,14148.75,23022.0375
"(188, 231)",131,132,0.241774912500661,6.204092025756836,nan,,58.0,nan,0,nan,"['130_132', '130_131']",RP10_ma,tertiary,nan,1432.0,"[188, 231]",nan,130,"[131, 132]",379,"[208, 207]",0.025,9702.0,15038.1,6468.0,148764.0,179972.1
260,132,159,1.0,7.105915069580078,nan,,50.0,nan,0,nan,132_159,RP10_ma,secondary,nan,19.0,260,nan,132,159,456,209,0.0,3436.125,4305.2625,1293.6,24659.25,33694.2375
1,0,1,0.0,0.0,nan,,58.0,nan,nan,nan,0_1,RP10_ma,tertiary,nan,70.0,1,nan,0,1,4,1,0.001,0.0,0.0,0.0,0.0,0.0
45,0,2,0.0,0.0,nan,,60.0,nan,nan,nan,0_2,RP10_ma,tertiary,nan,529.0,45,60,0,2,7,2,0.009,0.0,0.0,0.0,0.0,0.0
12,0,11,0.0,0.0,nan,,58.0,nan,nan,nan,0_11,RP10_ma,tertiary,nan,71.0,12,nan,0,11,31,3,0.001,0.0,0.0,0.0,0.0,0.0
120,1,13,0.0,0.0,nan,,58.0,nan,nan,nan,1_13,RP10_ma,tertiary,nan,36.0,120,nan,1,13,37,4,0.001,0.0,0.0,0.0,0.0,0.0
11,1,11,0.0,0.0,nan,,58.0,nan,nan,nan,1_11,RP10_ma,tertiary,nan,24.0,11,nan,1,11,32,5,0.0,0.0,0.0,0.0,0.0,0.0
230,2,43,0.0,0.0,nan,,60.0,nan,nan,nan,2_43,RP10_ma,tertiary,nan,2554.0,230,60,2,43,128,7,0.043,0.0,0.0,0.0,0.0,0.0
3,3,4,0.0,0.0,nan,,58.0,nan,nan,nan,3_4,RP10_ma,tertiary,nan,118.0,3,nan,3,4,13,8,0.002,0.0,0.0,0.0,0.0,0.0
41,3,5,0.0,0.0,nan,,60.0,nan,nan,nan,3_5,RP10_ma,tertiary,2,320.0,41,60,3,5,16,9,0.005,0.0,0.0,0.0,0.0,0.0
225,3,143,0.0,0.0,nan,,58.0,nan,nan,nan,3_143,RP10_ma,tertiary,nan,124.0,225,nan,3,143,410,10,0.002,0.0,0.0,0.0,0.0,0.0
24,4,22,0.0,0.0,nan,,58.0,nan,nan,nan,4_22,RP10_ma,tertiary,nan,74.0,24,nan,4,22,64,11,0.001,0.0,0.0,0.0,0.0,0.0
224,4,143,0.0,0.0,nan,,58.0,nan,nan,nan,4_143,RP10_ma,tertiary,nan,63.0,224,nan,4,143,411,12,0.001,0.0,0.0,0.0,0.0,0.0
40,5,38,0.0,0.0,nan,,58.0,nan,nan,nan,5_38,RP10_ma,tertiary,nan,209.0,40,nan,5,38,113,13,0.004,0.0,0.0,0.0,0.0,0.0
157,5,118,0.0,0.0,nan,,58.0,nan,nan,nan,5_118,RP10_ma,tertiary,nan,212.0,157,nan,5,118,340,14,0.004,0.0,0.0,0.0,0.0,0.0
5,6,7,0.0,0.0,nan,,58.0,nan,nan,nan,6_7,RP10_ma,tertiary,nan,264.0,5,nan,6,7,22,15,0.005,0.0,0.0,0.0,0.0,0.0
90,6,9,0.0,0.0,nan,,58.0,nan,nan,nan,6_9,RP10_ma,tertiary,nan,909.0,90,nan,6,9,25,17,0.016,0.0,0.0,0.0,0.0,0.0
